id_tema;tema;pergunta;descr
1;Cobrança de cursos em universidades públicas;cobrança de cursos de pós-graduação lato sensu em universidades públicas?;Segundo o texto, o ensino público superior de graduação e de pós-graduação acadêmica continuam gratuitos, mas as instituições poderão cobrar pelos cursos de extensão, de pós-graduação lato sensu (como MBAs) e de mestrado profissional. A exceção será para os programas de residência (em saúde) e de formação de profissionais na área de ensino, que continuarão gratuitos.
2;Tributação serviços de internet;tributação de serviços de internet (novas regras do ISS)?;Novas regras para o ISS (Imposto sobre Serviços). O texto-base fixa em 2% a alíquota do ISS (Imposto sobre Serviços), tentando acabar com a guerra fiscal entre os municípios. Além disso, O projeto inclui novos serviços na lista daqueles que podem ser tributados como aplicação de tatuagens, piercings e congênere vigilância e monitoramento de bens móveis e disponibilização de conteúdos de áudio, vído, imagem e texto em páginas eletrônicas, exceto no caso de jornais, livros e periódicos.
3;Terrorismo;definição aprovada do crime de terrorismo?;A votação do projeto de lei tipifica o crime de terrorismo. O texto aprovado tipifica o terrorismo como a prática, por um ou mais indivíduos, de atos por razões de xenofobia, discriminação ou preconceito de raça, cor, etnia ou religião, com a finalidade de provocar terror social ou generalizado, expondo a perigo pessoa, patrimônio, a paz pública ou a incolumidade pública. O texto prevê pena de reclusão de 12 a 30 anos em regime fechado, sem prejuízo das penas relativas a outras infrações decorrentes desse crime.
4;Infaticídio indígena;combate ao infanticídio indígena?;O projeto aprovado trata de medidas para combater práticas tradicionais nocivas em sociedades indígenas, como o infanticídio, abuso sexual, estupro individual ou coletivo, escravidão, tortura, abandono de vulneráveis e violência doméstica. Além disso, o projeto trata da proteção dos direitos fundamentais de crianças, adolescentes, mulheres e idosos vulneráveis nessas comunidades
5;Maioridade 1;redução da maioridade penal (1a votação)?;A redução da maioridade penal para 16 anos se enquadria nos seguintes casos: crimes hediondos (como estupro), homicídio doloso, lesão corporal grave ou lesão corporal seguida de morte, tráfico de drogas e roubo qualificado
6;Maioridade 2;redução da maioridade penal (2a votação - excluindo tráfico de drogas e roubo qualificado)?;A redução da maioridade penal para 16 anos se enquadria nos seguintes casos: crimes hediondos (como estupro), homicídio doloso e lesão corporal grave ou lesão corporal seguida de morte.
7;Financiamento privado para partidos;financiamento privado de campanhas só para partidos políticos?;Financiamento privado de campanhas para partidos políticos. Não é permitido o financiamento para candidatos.
8;Financiamento privado para partidos e candidatos;financiamento privado de campanhas para partidos políticos e candidatos?;Financiamento privado de campanhas para partidos políticos e candidatos.
9;Terceirização	emenda da terceirização?;Entre outros pontos: terceirizar a atividade-fim; redução de 24 meses para 12 meses a chamada quarentena, período que o ex-empregado de uma empresa deve cumprir a fim de poder prestar serviços à mesma empresa por uma contratada de terceirização. Para saber mais: http://goo.gl/RDRhGT.
10;Distritao;sistema de voto Distritão?;Neste sistema, Estados e o Distrito Federal são transformados em distritos eleitorais e os candidatos eleitos são aqueles que conseguem o maior número de votos em cada distrito (semelhante nas eleições para presidente, governador e prefeito, onde quem tem o maior número de votos é eleito). Atualmente o sistema em vigor é o Sistema Proporcional. Para saber mais sobre o sitema proporcional: http://goo.gl/BsdeHx . Para saber mais sobre a lei: http://goo.gl/02Hbnb.
11;Transgênico;retirada das embalagens o aviso de produto transgênico?;Não é obrigatório os avisos de produtos transgênicos nas embalagens.
12;Reeleição;fim da reeleição?;Fim da reeleição para presidente da República, governador e prefeito.
13;Cota para mulheres legislativo;cota para mulheres no legislativo?;O texto previa uma espécie de reserva de vagas para as mulheres nas próximas três legislaturas. Na primeira delas, de 10% do total de cadeiras na Câmara dos Deputados, nas assembleias legislativas estaduais, nas câmaras de vereadores e na Câmara Legislativa do Distrito Federal. Na segunda legislatura, o percentual subiria para 12% e, na terceira, para 15%.
14;Pensão;restrição de acesso a pensão por morte?;Pelo texto aprovado, os cônjuges só poderão requerer pensão por morte do companheiro se o tempo de união estável ou casamento for de mais de dois anos e o segurado tiver contribuído para o INSS por, no mínimo, um ano e meio. Antes, não era exigido tempo mínimo de contribuição para que os dependentes tivessem direito ao benefício, mas era necessário que, na data da morte, o segurado estivesse contribuindo para a Previdência Social. Para saber mais: http://goo.gl/XS62zP.
15;Seguro Desemprego;endurecimento do acesso ao seguro-desemprego?;Com a lei fica mais difícil o acesso ao seguro-desemprego, ao abono salarial e ao seguro-defeso. Por exemplo: antes era necessário que um empregado tivesse um tempo de trabalho de no mínimo 6 meses para solicitar o seguro-desemprego no ato da demissão. Com a lei esse tempo mínimo passou para 1 ano. O objetivo da lei é reduzir os gastos. Para saber mais: http://goo.gl/H0dCtH
16;Tempo Mandato;tempo de mandato de 5 anos?;Mudança no tempo de mandato dos cargos do executivo (prefeito, governador e presidente) para 5 anos. Atualmente o mandato é de 4 anos.
17;Voto Facultativo;voto facultativo?;Não obrigatoriedade do voto.
18;Voto impresso;voto impresso?;Impressão do voto.
19;Coincidência reeleição;coincidência da eleição?;As eleições municipais, estaduais e federais seriam no mesmo ano.
